Data extracted on 10/04/2023 16:59:47 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,
Dataset: ,"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2, I, 55.1) (from 2012 onwards) [TIN00180]",,,,,,,,,,,,,,,,,,,,,
Last updated: ,06/04/2023 11:00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,
Accommodation unit,,Bedplaces,,,,,,,,,,,,,,,,,,,,
Unit of measure,,Percentage,,,,,,,,,,,,,,,,,,,,
Size of tourism establishments by number of rooms,,Total,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
TIME,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),42.74,,42.99,,43.67,,45.65,,47.13,,49.09,,49.78,,49.84,,28.1,,33.89,,:,
Euro area – 20 countries (from 2023),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area - 19 countries  (2015-2022),:,,:,,:,,:,,:,,:,,50.47,,50.48,,:,,34.3,,:,
Belgium,39.8,,40.4,,:,c,44.02,,40,,44,,45,,46,,23.92,,28.42,,:,
Bulgaria,38.8,,39.5,,37.8,,37,,41.5,,42,,42.3,,42.1,,26.5,,32.7,,:,
Czechia,34.8,,34.8,,35.2,,36.2,,46.5,,49.9,,50,,50.9,,27,,24,,:,
Denmark,40,,42,,44,,47,,48,,48,,48,,48,,23,,30,,:,
Germany (until 1990 former territory of the FRG),39.9,,40.6,,41.8,,42.99,,43.86,,44.8,,45.33,,45.71,,28.6,,29.02,,:,
Estonia,45,,45,,44,,44,,47,,48,,47,,48,,22,,27,,:,
Ireland,43,e,44,e,46,e,52,e,54,e,:,,53,e,54,e,15,e,13,e,:,
Greece,43.2,,45.2,,47.3,,49.1,,50.1,,52.8,,51.5,,49.5,,30.1,,42.9,,:,
Spain,53,,54.1,,55.7,,58.08,,61.34,,62.62,,61.69,,61.48,,31,,43.76,,:,
France,48.3,,47.4,,46.5,,47,,46.3,,48.9,,50.3,,50,,:,,35,e,:,
Croatia,53.1,,53.2,,52.7,,53.5,,56.5,,59.5,,59.5,,60.3,,25.4,,42.5,,:,
Italy,40.9,,40.5,,40.6,,42.5,,43.7,,46.1,,48.3,,49,,29.7,,37.9,,:,
Cyprus,64.5,,63,,61.6,,65.3,,71.3,,76.4,,74.4,,71.8,,28.7,,50.1,,:,
Latvia,35.8,,35.9,,39.8,,36.3,,37,,39.61,,43.6,,43.3,,21.4,,20.8,,:,
Lithuania,35,,36.8,,37.1,,36.8,,39,,40.8,,42.7,,44,,23.7,,27.7,,:,
Luxembourg,30.6,,31.8,,35.1,,39.35,,33.19,,31.28,,31.46,,30.87,,16,,23.68,,:,
Hungary,32.1,,33.5,,35,,36.3,,38.3,,40.6,,41.5,,41.9,,23.4,,27.6,,:,
Malta,57.6,,60.5,,63.8,,64.3,,64.4,,66.4,,68.2,,66.2,,25.7,,33.8,,:,
Netherlands,42.3,,42.8,,44.2,,45.6,,47.6,,50.4,,50.9,,50.2,,26.8,,26.9,,:,
Austria,28.3,,28.3,,28.3,,40,,41,,47,,48,,48,,28,,27,,43,
Poland,33.1,,33.7,,34.7,,36.6,,38.6,,39.8,,40.8,,41.7,,25.5,,30.7,,:,
Portugal,39.5,,39.8,,42.4,,44.1,,48.52,,51.36,,51.36,,51.05,,25.22,,32.96,,:,
Romania,30.1,,29.5,,30.7,,33.79,,36.03,,36.5,,38.02,,39.72,,25,,30.18,,:,
Slovenia,42.6,,42.3,,42.8,,44.7,,47,,50.1,,:,,43.99,,30.62,,34.69,,:,
Slovakia,26.8,,27.8,,27.2,,29.5,,32.91,,34.18,,34.21,,36.16,,27.85,,24.7,,:,
Finland,40,,39,,38.3,,38.92,,40.25,,41.5,,41.14,,41.99,,28.79,,31.35,,:,
Sweden,37.8,,38.3,,39.8,,43.24,,45.68,,45.96,,46,,45,,27,,33.58,,:,
Iceland,39.8,,37.4,,44.6,,0.49,,54.9,,:,,:,,51.1,,20.1,,30.3,,:,
Liechtenstein,30.5,,31.7,,29.4,,27.6,,23.7,,26.1,,28.7,,30.2,,23.8,,29.2,,:,
Norway,35.4,,35.1,,35.7,,37.3,,38.5,,:,,:,,:,,26.5,,28,,35.7,
Switzerland,40.8,,41.9,,42.2,,41.7,,41.6,,45.03,,44.6,,44.85,,:,,:,,:,
United Kingdom,48.1,,50,,:,,50.8,,51.6,,:,,:,,:,,:,,:,,:,
Montenegro,30,,:,,:,,35.2,,33.7,,34.9,,:,,:,,:,,:,,:,
North Macedonia,:,,34.3,,22.5,,22.99,,22,,24.3,,26.4,,27.5,,15.9,,18.67,,:,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,26.8,,27.8,,26.3,,28.6,,31.2,,:,,:,,:,,22.1,,28.4,,:,
Türkiye,:,,52.6,,51.83,,51.18,,41.49,,:,,3.28,,3.59,,1.51,,2.7,,:,
,,,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,,,
c,confidential,,,,,,,,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,,,,,,,
